task,participant_id,language,group,session,dominant_hand,hand_used,mode,mapping,trial,block,trial_type,condition,key_correct,key_response,joy_correct,joy_response,correct,reaction_time,stimulus_path,start_time,end_time,tap_num,pace_ms,synch_sound_ticks,response_ticks,intervals
TAP,demo,,1,1,right,right,demo,1,7,b2,experimental,synchronized,space,True,NA,NA,0,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-32,2026-05-05_13-31-36,1,550,71039,71336,NA
TAP,demo,,1,1,right,right,demo,1,7,b2,experimental,synchronized,space,True,NA,NA,0,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-32,2026-05-05_13-31-36,2,550,71590,71751,415
TAP,demo,,1,1,right,right,demo,1,7,b2,experimental,synchronized,space,True,NA,NA,0,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-32,2026-05-05_13-31-36,3,550,72142,72691,940
TAP,demo,,1,1,right,right,demo,1,7,b2,experimental,self_paced,space,True,NA,NA,0,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-32,2026-05-05_13-31-36,4,550,NA,73238,NA
TAP,demo,,1,1,right,right,demo,1,7,b2,experimental,self_paced,space,True,NA,NA,0,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-32,2026-05-05_13-31-36,5,550,NA,73636,398
TAP,demo,,1,1,right,right,demo,1,7,b2,experimental,self_paced,space,True,NA,NA,0,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-32,2026-05-05_13-31-36,6,550,NA,73851,215
TAP,demo,,1,1,right,right,demo,1,7,b2,experimental,self_paced,space,True,NA,NA,0,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-32,2026-05-05_13-31-36,7,550,NA,74024,173
TAP,demo,,1,1,right,right,demo,1,7,b2,experimental,self_paced,space,True,NA,NA,0,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-32,2026-05-05_13-31-36,8,550,NA,74229,205
TAP,demo,,1,1,right,right,demo,1,8,b2,experimental,synchronized,space,True,NA,NA,0,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-37,2026-05-05_13-31-41,1,550,75863,76035,NA
TAP,demo,,1,1,right,right,demo,1,8,b2,experimental,synchronized,space,True,NA,NA,0,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-37,2026-05-05_13-31-41,2,550,76414,76459,424
TAP,demo,,1,1,right,right,demo,1,8,b2,experimental,synchronized,space,True,NA,NA,0,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-37,2026-05-05_13-31-41,3,550,76965,76965,506
TAP,demo,,1,1,right,right,demo,1,8,b2,experimental,synchronized,space,True,NA,NA,0,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-37,2026-05-05_13-31-41,4,550,77518,77765,800
TAP,demo,,1,1,right,right,demo,1,8,b2,experimental,self_paced,space,True,NA,NA,0,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-37,2026-05-05_13-31-41,5,550,NA,78111,NA
TAP,demo,,1,1,right,right,demo,1,8,b2,experimental,self_paced,space,True,NA,NA,0,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-37,2026-05-05_13-31-41,6,550,NA,78280,169
TAP,demo,,1,1,right,right,demo,1,8,b2,experimental,self_paced,space,True,NA,NA,0,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-37,2026-05-05_13-31-41,7,550,NA,78454,174
TAP,demo,,1,1,right,right,demo,1,8,b2,experimental,self_paced,space,True,NA,NA,0,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-37,2026-05-05_13-31-41,8,550,NA,78644,190
TAP,demo,,1,1,right,right,demo,1,8,b2,experimental,self_paced,space,True,NA,NA,0,NA,tapping_task_tone_1000Hz_50ms_0.25amp.wav,2026-05-05_13-31-37,2026-05-05_13-31-41,9,550,NA,78829,185
